,modern,original
130,Neither can my accomplishments at sea.,Nor what I have done by water.
131,"Yes, for your own safety, you should deny one thing: you have been a great thief at sea.","Yes, something you can deny for your own safety: you have been a great thief by sea."
132,As you were on land.,And you by land.
133,That’s the one part of my service on land I do deny.,There I deny my land service.
134,"But let’s shake hands, Menas.","But give me your hand, Menas."
135,"If our eyes were policemen, they might capture two thieves at once while we’re embracing.","If our eyes had authority, here they might take two thieves kissing."
136,"Men’s faces are truthful, whatever their hands do.","All men’s faces are true, whatsome’er their hands are."
137,But no beautiful woman has an honest face.,But there is never a fair woman has a true face.
138,That’s no lie.,No slander.
139,They steal hearts.,They steal hearts.
140,We came here to fight against you.,We came hither to fight with you.
141,"For my part, I’m sorry this battle turned into a drinking match.","For my part, I am sorry it is turned to a drinking."
142,Today Pompey laughs away his fortune.,Pompey doth this day laugh away his fortune.
143,"If that’s true, he won’t get it back by crying.","If he do, sure he cannot weep ’t back again."
144,"That’s the truth, sir.","You’ve said, sir."
145,We didn’t expect Mark Antony to be here.,We looked not for Mark Antony here.
146,Is he married to Cleopatra?,"Pray you, is he married to Cleopatra?"
147,Caesar’s sister is named Octavia.,Caesar’s sister is called Octavia.
148,"That’s true, sir.","True, sir."
149,She was previously Caius Marcellus’ wife.,She was the wife of Caius Marcellus.
150,But she is now Mark Antony’s wife.,But she is now the wife of Marcus Antonius.
151,"Excuse me, sir?","Pray ye, sir?"
152,It’s true.,Tis true.
153,Then Caesar and he will always be united.,Then is Caesar and he forever knit together.
154,"If I were to make a prediction regarding this union, I wouldn’t say that.","If I were bound to divine of this unity, I would not prophesy so."
155,I think the marriage was made more for political reasons than for love.,I think the policy of that purpose made more in the marriage than the love of the parties.
156,I think so too.,I think so too.
157,But you’ll see that the very thing that joins them will be the thing that separates them.,But you shall find the band that seems to tie their friendship together will be the very strangler of their amity.
158,"Octavia has a pious, chaste, meek disposition.","Octavia is of a holy, cold, and still conversation."
159,Doesn’t everyone want a wife like that?,Who would not have his wife so?
160,"Not someone who doesn’t share that disposition, meaning Mark Antony.","Not he that himself is not so, which is Mark Antony."
161,He’ll go back to his Egyptian dish.,He will to his Egyptian dish again.
162,"Then Octavia’s complaints will rouse Caesar, and as I said before, the thing that brought them together will part them.","Then shall the sighs of Octavia blow the fire up in Caesar, and, as I said before, that which is the strength of their amity shall prove the immediate author of their variance."
163,Antony will go where his passion is.,Antony will use his affection where it is.
164,He only married out of political necessity.,He married but his occasion here.
165,Then that’s the way it may turn out.,And thus it may be.
166,"Come on, sir, will you come aboard?","Come, sir, will you aboard?"
167,I want to drink your health.,I have a health for you.
168,"I’ll join you, sir.","I shall take it, sir."
169,We did a lot of drinking in Egypt.,We have used our throats in Egypt.
170,Let’s go.,"Come, let’s away."
171,"Here’s where they’ll end up, on the floor.","Here they’ll be, man."
172,Some of them are leaning already.,Some o’ their plants are ill-rooted already.
173,Lepidus is red in the face.,Lepidus is high-colored.
174,They made him drink the leftover wine usually given to the poor.,They have made him drink alms-drink.
175,I’d rather carry a reed that obviously can’t protect me than a sword I cannot lift.,I had as lief have a reed that will do me no service as a partisan I could not heave.
176,"This is how they do it, sir: they measure the depth of the Nile, according to certain marks made on the walls of the Pyramid.","Thus do they, sir: they take the flow o’ th’ Nile By certain scales i’ th’ Pyramid."
177,They know by those measurements if there will be famine or plenty.,"They know By th’ height, the lowness, or the mean, if dearth Or foison follow."
178,"The higher the Nile flows, the better the harvest.",The higher Nilus swells The more it promises.
179,The harvest comes shortly after that.,"As it ebbs, the seedsman Upon the slime and ooze scatters his grain, And shortly comes to harvest."
180,Do you have unusual snakes there?,You’ve strange serpents there?
181,"Yes, Lepidus.","Ay, Lepidus."
182,"The Egyptian snake is born when the sun shines on the Nile mud, just like the crocodile.",Your serpent of Egypt is bred now of your mud by the operation of your sun.
183,"I don’t feel so well, but I won’t stop.","I am not so well as I should be, but I’ll ne’er out."
184,Not until you pass out.,Not till you have slept.
185,I’m afraid you’ll keep going until then.,I fear me you’ll be in till then.
186,I’ve heard that the pyramids build by the Ptolemies are splendid.,"Nay, certainly, I have heard the Ptolemies’ pyramises are very goodly things."
187,Without doubt I’ve heard that.,Without contradiction I have heard that.
188,What does a crocodile look like?,What manner o’ thing is your crocodile?
189,"Sir, it’s shaped like itself and is as wide as it has width.","It is shaped, sir, like itself, and it is as broad as it hath breadth."
190,It is only as high as it is and moves with its own legs.,"It is just so high as it is, and moves with its own organs."
191,Its own color.,Of it own color too.
192,It’s a strange snake.,Tis a strange serpent.
193,It is that.,Tis so.
194,And its tears are wet.,And the tears of it are wet.
195,What is it?,The matter?
196,I’ve always had great respect for your destiny.,I have ever held my cap off to thy fortunes.
197,You’ve served me faithfully.,Thou hast served me with much faith.
198,What else can I say?,"What’s else to say?—                                                          These quicksands, Lepidus, Keep off them, for you sink."
199,What are you saying?,What sayst thou?
200,Would you like to be king of the entire world?,Wilt thou be lord of the whole world?
201,Now I’ve said it twice.,That’s twice.
202,How could that happen?,How should that be?
203,Just listen to him.,"Nay, hear him."
204,Be kind now and tell me some excellent fortune.,"Good now, some excellent fortune!"
205,Tell me that I’ll marry three kings before noon and be widowed by all of them.,Let me be married to three kings in a forenoon and widow them all.
206,"Oh, excellent!","Oh, excellent!"
207,Then my children will probably be illegitimate.,Then belike my children shall have no names.
208,"Tell me, please: how many boys and girls will I have?","Prithee, how many boys and wenches must I have?"
209,"If every time you wished for a child you could have had one, you would have a million children.","If every of your wishes had a womb, And fertile every wish, a million."
210,You seem to think no one outside of your bedroom knows what you wish.,You think none but your sheets are privy to your wishes.
211,We’ll all want our fortune told.,We’ll know all our fortunes.
212,My fortune—like that of many of us tonight—is to go drunk to bed.,"Mine, and most of our fortunes tonight, shall be—drunk to bed."
213,Are you drunk?,Hast thou drunk well?
214,"No, Pompey, I haven’t had anything to drink.","No, Pompey, I have kept me from the cup."
215,Tell me how.,Show me which way.
216,The three who share the known world are aboard your boat.,"These three world-sharers, these competitors, Are in thy vessel."
217,Everything that belongs to them is yours.,All there is thine.
218,"Oh, you should have done it without telling me!","Ah, this thou shouldst have done And not have spoke on ’t!"
219,For you to do it would be good service.,"In me ’tis villainy, In thee ’t had been good service."
220,"You should know that to me, profit isn’t more important than honor, but the other way around.","Thou must know, ’Tis not my profit that does lead mine honor; Mine honor, it."
221,Regret that your mouth betrayed your actions.,Repent that e’er thy tongue Hath so betrayed thine act.
222,But now I must condemn it.,"Being done unknown, I should have found it afterwards well done, But must condemn it now."
223,Give it up and go drink.,"Desist, and drink."
224,This toast is for Lepidus!,This health to Lepidus!
225,"Here’s to you, Menas.","Here’s to thee, Menas!"
226,"I accept with thanks, Enobarbus.","Enobarbus, welcome."
227,"There goes a strong fellow, Menas.","There’s a strong fellow, Menas."
228,Why do you say that?,Why?
229,He carries a third of the world.,"He bears The third part of the world, man."
230,Can’t you see that?,Seest not?
231,Then a third of the world is drunk.,"The third part, then, is drunk."
232,Drink up.,Drink thou.
233,"All right, then.",Come.
234,This hasn’t reached the level of an Egyptian feast yet.,This is not yet an Alexandrian feast.
235,It’s getting there.,It ripens towards it.
236,Clink your cups together in a toast!,"Strike the vessels, ho!"
237,Here’s to Caesar.,Here’s to Caesar.
238,I could do without another toast.,I could well forbear ’t.
239,Live in the moment.,Be a child o’ th’ time.
240,But I would rather abstain from everything for four days than drink so much in one.,But I had rather fast from all four days Than drink so much in one.
241,"Let’s have one, good soldier.","Let’s ha ’t, good soldier."
242,"Come, let’s join our hands until the overpowering wine makes us soft and forgetful.","Come, let’s all take hands Till that the conquering wine hath steeped our sense In soft and delicate Lethe."
243,Everyone join hands.,All take hands.
244,How can you top that?,What needs more words?
245,"Good night, Pompey.",Good night.
246,"Yes, we will.","And shall, sir."
247,Let’s shake on it.,Give ’s your hand.
248,We’re friends!,We are friends.
249,"Come, this way to the rowboat.","Come, down into the boat."
250,Be careful not to fall in.,Take heed you fall not.
251,"Menas, I’m not going back on shore.","Menas, I’ll not on shore."
252,"No, come to my cabin.","No, to my cabin."
253,What do you say?,What!
254,There’s my hat!,There’s my cap.
255,Hooray!,Hoo!
256,"Come on, noble captain.","Noble captain, come."
257,"Now I’ve paid you back, Parthia, and gotten revenge for Marcus Crassus’ death.","Now, darting Parthia, art thou struck, and now Pleased fortune does of Marcus Crassus’ death Make me revenger."
258,"You must understand, Silius, that it’s better to leave something undone than achieve too much fame in your superior’s absence.","For learn this, Silius: Better to leave undone than by our deed Acquire too high a fame when him we serve’s away."
259,Caesar and Antony have always achieved more by delegating authority to their officers than by leading their troops in person.,Caesar and Antony have ever won More in their officer than person.
260,A man who achieves more in war than his captain does becomes his captain’s rival.,"Who does i’ th’ wars more than his captain can Becomes his captain’s captain; and ambition, The soldier’s virtue, rather makes choice of loss Than gain which darkens him."
261,"I could do more to help Antony, but to do so would insult him.","I could do more to do Antonius good, But ’twould offend him, and in his offense Should my performance perish."
262,"A soldier is just a tool, like his sword, unless he has your qualities, Ventidius.","Thou hast, Ventidius, that Without the which a soldier and his sword Grants scarce distinction."
263,Are you going to write Antony about this?,Thou wilt write to Antony?
264,"I’ll write how, under his flag and with his well-paid troops, we have beaten the formerly unvanquished Parthia.","I’ll humbly signify what in his name, That magical word of war, we have effected: How with his banners and his well-paid ranks The ne’er-yet-beaten horse of Parthia We have jaded out o’ th’ field."
265,Where’s Antony now?,Where is he now?
266,Did the brothers-in-law leave?,"What, are the brothers parted?"
267,"They finished their business with Pompey, and Pompey has left.",They have dispatched with Pompey; he is gone.
268,Octavia weeps at the thought of leaving Rome.,Octavia weeps To part from Rome.
269,Caesar is in a sober mood.,"Caesar is sad, and Lepidus, Since Pompey’s feast, as Menas says, is troubled With the greensickness."
270,He’s a stylish man.,A very fine one.
271,And how he loves Caesar!,"Oh, how he loves Caesar!"
272,"Yes, but how he adores Mark Antony!","Nay, but how dearly he adores Mark Antony!"
273,Caesar?,Caesar?
274,Then what’s Antony?,What’s Antony?
275,A god of a god?,The god of Jupiter.
276,Are you talking about Caesar?,Spake you of Caesar?
277,He’s without equal!,"How, the nonpareil!"
278,"Oh, Antony!","O Antony, O thou Arabian bird!"
279,"Oh, you  If you want to praise Caesar, just say his name—that’s all the praise that’s necessary.","Would you praise Caesar, say “Caesar.” Go no further."
280,He certainly flattered them both with extravagant compliments.,"Indeed, he plied them both with excellent praises."
281,"He loves Caesar best, but he also loves Antony.",But he loves Caesar best; yet he loves Antony.
282,Oh!,Hoo!
283,"Hearts cannot think it, tongues cannot speak it, meas-urements cannot calculate it, scribes cannot write it, bards cannot sing it, and poets cannot make verses about it.","Hearts, tongues, figures, scribes, bards, poets, cannot Think, speak, cast, write, sing, number—hoo!— His love to Antony."
284,He loves them both.,Both he loves.
285,"They are his dung, and he their beetle.","They are his shards, and he"
286,"So, there’s the signal to ride.","So, This is to horse."
287,"Good-bye, noble Agrippa.","Adieu, noble Agrippa."
288,"Good luck, worthy soldier, and good-bye.","Good fortune, worthy soldier, and farewell."
289,"You can’t go any further with us, sir.","No further, sir."
290,"If you and I don’t value her equally, it would be better for us to work out our differences without her.","For better might we Have loved without this mean, if on both parts This be not cherished."
291,Don’t insult me with your distrust.,Make me not offended In your distrust.
292,I mean what I say.,I have said.
293,"You won’t find any cause for anxiety, even if you look for one.","You shall not find, Though you be therein curious, the least cause For what you seem to fear."
294,"So, may the gods protect you and change the hearts of the Romans so that they turn and give you their support.",So the gods keep you And make the hearts of Romans serve your ends.
295,We’ll leave you here.,We will here part.
296,"Good-bye, my dearest sister, good-bye.","Farewell, my dearest sister, fare thee well."
297,I hope you have good weather to set your mind at ease.,The elements be kind to thee and make Thy spirits all of comfort!
298,Farewell.,Fare thee well.
299,My noble brother!,My noble brother!
300,Her eyes are like April: full of showers.,"The April’s in her eyes; it is love’s spring, And these the showers to bring it on."
301,"What is it, Octavia?","What, Octavia?"
302,I’ll tell you privately.,I’ll tell you in your ear.
303,"See, now I have you.","Look, here I have you."
304,And thus I let you go and give you to the gods.,Thus I let you go And give you to the gods.
305,Good-bye.,Adieu.
306,Be happy.,Be happy.
307,"Farewell, farewell.","Farewell, farewell."
308,Farewell.,Farewell.
309,"Like the  Oh stop it, you lusty bed-hopper.",E’en as the o’erflowing Nilus presageth famine.
310,You can’t see the future.,"Go, you wild bedfellow, you cannot soothsay."
311,"Well, if a moist palm isn’t a clear sign of promiscuity, then I can’t scratch my own ear.","Nay, if an oily palm be not a fruitful prognostication, I cannot scratch mine ear.—Prithee, tell her but a workaday fortune."
312,Your fortunes are the same.,Your fortunes are alike.
313,But how?,"But how, but how?"
314,Give me details.,Give me particulars.
315,I’ve said what I have to say.,I have said.
316,Isn’t my fortune just a little better than hers?,Am I not an inch of fortune better than she?
317,"Well, if you could have just an inch of better fortune than me, where would you like the improvement?","Well, if you were but an inch of fortune better than I, where would you choose it?"
318,Not in my husband’s nose.,Not in my husband’s nose.
319,May heaven save us from indecent thoughts!,Our worser thoughts heavens mend.
320,Alexas!,Alexas!
321,"If it’s sad to see a handsome man with a cheating wife, it’s a tragedy to see an ugly thug with a wife who’s faithful.","For, as it is a heartbreaking to see a handsome man loose-wived, so it is a deadly sorrow to behold a foul knave uncuckolded."
322,"Therefore, dear Isis, do the right thing and give him the fortune he deserves.","Therefore, dear Isis, keep decorum, and fortune him accordingly."
323,Where is that messenger?,Where is the fellow?
324,He’s afraid to come in.,Half afeard to come.
325,"Oh, come on.—Come here, sir.","Go to, go to.—Come hither, sir."
326,"Gracious Queen, even Herod of Judea wouldn’t dare look at you unless you were in a good mood.","Good majesty, Herod of Jewry dare not look upon you But when you are well pleased."
327,I’ll have Herod’s head chopped off!,That Herod’s head I’ll have!
328,Most formidable Queen!,Most gracious majesty!
329,Did you see Octavia?,Didst thou behold Octavia?
330,"Yes, revered Queen.","Ay, dread Queen."
331,Where?,Where?
332,"In Rome, Madam.","Madam, in Rome."
333,I saw her face as she walked with her brother and Mark Antony.,"I looked her in the face, and saw her led Between her brother and Mark Antony."
334,Is she as tall as I am?,Is she as tall as me?
335,"She is not, madam.","She is not, madam."
336,Did you hear her speak?,Didst hear her speak?
337,Is her voice pitched high or low?,Is she shrill-tongued or low?
338,"Madam, I heard her speak.","Madam, I heard her speak."
339,She has a low-pitched voice.,She is low-voiced.
340,That’s not in her favor.,That’s not so good.
341,He can’t like her very long.,He cannot like her long.
342,Like her?,Like her?
343,"Oh, Isis, that’s impossible.","O Isis, ’tis impossible."
344,"You’re right, Charmian.","I think so, Charmian."
345,She creeps along.,She creeps.
346,"She has a body, not a life.","She shows a body rather than a life, A statue than a breather."
347,Is this true?,Is this certain?
348,"If not, then I have no powers of observation.",Or I have no observance.
349,There aren’t three people in all of Egypt who could do better.,Three in Egypt Cannot make better note.
350,She doesn’t have anything going for her so far.,There’s nothing in her yet.
351,This messenger is wise.,The fellow has good judgment.
352,Very wise.,Excellent.
353,"Do you hear that, Charmian?","Charmian, hark."
354,And I think she’s at least thirty.,And I do think she’s thirty.
355,Do you remember her face?,Bear’st thou her face in mind?
356,Was it long or round?,Is ’t long or round?
357,Round enough to be unattractive.,"Round, even to faultiness."
358,Usually that means a person is foolish.,"For the most part, too, they are foolish that are so."
359,What color is her hair?,"Her hair, what color?"
360,"Brown, madam, and she wouldn’t want her forehead to be any lower.","Brown, madam, and her forehead As low as she would wish it."
361,You mustn’t hold my earlier outburst against me.,Thou must not take my former sharpness ill.
362,I’ll hire you again to go back to Rome.,I will employ thee back again; I find thee Most fit for business.
363,My letters are ready to go.,Go make thee ready; Our letters are prepared.
364,He’s an admirable man.,A proper man.
365,He certainly is.,"Indeed, he is so."
366,I’m very sorry I was so hard on him.,I repent me much That so I harried him.
367,"Not a bit, madam.","Nothing, madam."
368,Everything may still be all right.,All may be well enough.
369,"I assure you it is, madam.","I warrant you, madam."
370,"Oh, dear husband, don’t believe everything you hear—or if you must believe it, don’t let it all make you angry.","O my good lord, Believe not all, or, if you must believe, Stomach not all."
371,No lady could be more miserable than I if you two disagree.,"A more unhappy lady, If this division chance, ne’er stood between, Praying for both parts."
372,"Gentle Octavia, support the one that supports you.","Gentle Octavia, Let your best love draw to that point which seeks Best to preserve it."
373,"In the meantime, I’ll raise an army that will surpass his.","The meantime, lady, I’ll raise the preparation of a war Shall stain your brother."
374,"May the god of power make me, the weakest of the weak, your mediator.","The Jove of power make me most weak, most weak, Your reconciler!"
375,"When you find out who started this disagreement, turn your anger upon them.","When it appears to you where this begins, Turn your displeasure that way, for our faults Can never be so equal that your love Can equally move with them."
376,Order supplies for your trip and choose your traveling companions.,Provide your going; Choose your own company and command what cost Your heart has mind to.
377,"How goes it, friend Eros?","How now, friend Eros!"
378,"Some startling news has just arrived, sir.","There’s strange news come, sir."
379,"What news, man?","What, man?"
380,Caesar and Lepidus declared war against Pompey.,Caesar and Lepidus have made wars upon Pompey.
381,That’s old news.,This is old.
382,Who’s winning?,What is the success?
383,So the weak third of the triumvirate is imprisoned until death frees him.,"So the poor third is up, till death enlarge his confine."
384,"And even if you throw everything you possess to the two of them, they’ll battle each other to the death to have it all.","Then, world, thou hast a pair of chaps, no more, And throw between them all the food thou hast, They’ll grind the one the other."
385,Where’s Antony?,Where’s Antony?
386,"Another thing, Domitius: Antony wants to see you now.","More, Domitius: My lord desires you presently."
387,I should have waited to tell you my news.,My news I might have told hereafter.
388,But never mind.,"Twill be naught, But let it be."
389,Take me to Antony.,Bring me to Antony.
390,"Come with me, sir.","Come, sir."
391,"In Alexandria he condemned Rome, and that’s not all.","Contemning Rome, he has done all this and more In Alexandria."
392,This is what happened: he and Cleopatra sat on chairs of gold on a silver-covered stage in the marketplace.,"Here’s the manner of ’t: I’ th’ marketplace, on a tribunal silvered, Cleopatra and himself in chairs of gold Were publicly enthroned."
393,He did this in public?,This in the public eye?
394,"He gave Syria, Cilicia, and Phoenicia to Ptolemy.","She In th’ habiliments of the goddess Isis That day appeared, and oft before gave audience, As ’tis reported, so."
395,Let’s send this news to Rome.,Let Rome be thus informed.
396,The Roman people are fed up with his arrogance already.,"Who, queasy with his insolence already, Will their good thoughts call from him."
397,"The people have heard it already, and they’ve been told of his accusations.","The people knows it, and have now received His accusations."
398,Who does he accuse?,Who does he accuse?
399,"He accuses me of withholding his share of Sextus Pompeius’ possessions, which we seized in Sicily.","Caesar, and that, having in Sicily Sextus Pompeius spoiled, we had not rated him His part o’ th’ isle."
